num_chars_from,special_chars_from,uppercase_percentage_from,date,subject,body,label
22.0,3.0,0.0,8.0,2,4,1
19.0,3.0,0.0,14.0,3,2,1
17.0,2.0,0.0,11.0,2,3,1
35.0,4.0,0.0,17.0,3,2,1
90.0,10.0,20.0,19.0,2,5,1
34.0,4.0,0.0,19.0,2,3,0
25.0,3.0,0.0,3.0,2,2,0
23.0,2.0,0.0,11.0,3,2,0
21.0,2.0,10.526315789473683,18.0,3,3,1
17.0,3.0,0.0,20.0,3,3,1
25.0,3.0,0.0,8.0,2,1,0
23.0,3.0,0.0,22.0,3,3,1
26.0,3.0,0.0,20.0,2,1,0
32.0,3.0,6.896551724137931,2.0,2,2,1
22.0,3.0,0.0,19.0,2,2,0
19.0,2.0,0.0,18.0,0,0,0
26.0,3.0,0.0,7.0,2,1,1
16.0,2.0,0.0,1.0,2,0,0
44.0,3.0,0.0,5.0,3,2,1
27.0,3.0,0.0,2.0,1,1,0
20.0,3.0,0.0,10.0,2,3,0
14.0,2.0,0.0,7.0,1,4,1
22.0,2.0,0.0,4.0,2,1,1
34.0,3.0,0.0,3.0,3,4,0
13.0,2.0,0.0,2.0,2,2,0
20.0,3.0,0.0,20.0,2,2,0
17.0,2.0,0.0,22.0,2,2,0
17.0,3.0,0.0,23.0,2,2,1
12.0,2.0,0.0,7.0,1,3,1
15.0,2.0,0.0,21.0,2,2,1
18.0,2.0,0.0,21.0,2,1,0
38.0,2.0,0.0,15.0,3,2,1
18.0,3.0,0.0,17.0,1,1,0
22.0,2.0,0.0,22.0,3,3,1
25.0,3.0,0.0,20.0,2,2,0
20.0,3.0,0.0,5.0,2,2,0
18.0,3.0,0.0,9.0,2,2,0
23.0,3.0,0.0,15.0,2,0,0
20.0,3.0,0.0,23.0,2,1,0
38.0,3.0,0.0,12.0,2,2,0
22.0,3.0,0.0,20.0,2,3,0
17.0,2.0,6.666666666666667,0.0,3,4,1
25.0,3.0,0.0,9.0,2,2,0
23.0,2.0,0.0,13.0,3,3,1
20.0,3.0,0.0,4.0,2,2,0
27.0,2.0,0.0,11.0,2,2,0
20.0,3.0,0.0,21.0,2,2,0
20.0,3.0,0.0,15.0,2,3,0
23.0,3.0,0.0,21.0,3,1,0
19.0,3.0,0.0,10.0,1,1,1
18.0,2.0,0.0,6.0,1,4,1
23.0,3.0,0.0,16.0,2,2,0
11.0,2.0,0.0,9.0,2,3,1
34.0,5.0,0.0,23.0,3,3,1
20.0,3.0,0.0,3.0,2,2,0
24.0,2.0,13.636363636363637,12.0,3,2,1
43.0,5.0,15.789473684210526,19.0,1,3,1
20.0,3.0,0.0,6.0,2,2,0
28.0,3.0,0.0,14.0,3,3,1
25.0,3.0,0.0,15.0,2,0,0
37.0,3.0,0.0,10.0,2,3,1
30.0,3.0,0.0,2.0,2,1,0
20.0,3.0,0.0,19.0,2,3,0
20.0,3.0,0.0,12.0,2,2,0
22.0,2.0,0.0,15.0,3,4,1
15.0,2.0,0.0,15.0,2,1,1
17.0,2.0,0.0,3.0,2,2,0
19.0,2.0,0.0,11.0,1,2,0
29.0,2.0,0.0,,2,4,1
21.0,2.0,0.0,11.0,3,2,1
26.0,4.0,0.0,18.0,3,2,1
20.0,3.0,0.0,4.0,2,3,0
23.0,2.0,0.0,13.0,3,2,1
22.0,3.0,0.0,13.0,2,3,0
20.0,3.0,0.0,19.0,2,2,0
20.0,3.0,0.0,17.0,2,2,0
20.0,3.0,0.0,22.0,2,2,0
17.0,3.0,0.0,2.0,3,3,1
24.0,2.0,0.0,22.0,2,3,1
34.0,5.0,0.0,19.0,3,3,1
20.0,3.0,0.0,19.0,0,2,0
25.0,2.0,0.0,14.0,3,3,1
22.0,3.0,0.0,3.0,3,2,1
18.0,2.0,0.0,16.0,1,3,1
21.0,2.0,0.0,10.0,1,1,1
20.0,3.0,0.0,13.0,2,3,0
24.0,2.0,0.0,19.0,2,3,1
25.0,3.0,0.0,16.0,2,1,0
22.0,3.0,0.0,16.0,2,1,1
16.0,2.0,0.0,19.0,2,4,1
20.0,3.0,0.0,12.0,2,2,0
21.0,2.0,0.0,23.0,3,2,0
22.0,2.0,0.0,6.0,3,3,1
20.0,2.0,0.0,18.0,2,0,0
27.0,2.0,0.0,22.0,2,2,0
28.0,2.0,0.0,1.0,3,3,1
20.0,3.0,0.0,14.0,2,2,0
28.0,3.0,0.0,8.0,2,1,0
20.0,2.0,0.0,7.0,2,3,1
24.0,3.0,0.0,12.0,2,1,0
30.0,3.0,0.0,7.0,3,1,1
20.0,3.0,0.0,9.0,2,2,0
28.0,3.0,0.0,15.0,3,2,1
14.0,2.0,0.0,2.0,2,3,1
24.0,3.0,0.0,8.0,2,2,0
23.0,3.0,0.0,17.0,3,2,1
29.0,4.0,0.0,17.0,1,1,1
23.0,3.0,0.0,19.0,3,2,0
24.0,2.0,0.0,19.0,3,2,1
18.0,2.0,0.0,14.0,2,2,0
20.0,3.0,0.0,22.0,2,2,0
18.0,3.0,0.0,8.0,2,1,0
18.0,2.0,0.0,14.0,2,2,1
32.0,3.0,0.0,15.0,2,3,0
21.0,2.0,0.0,2.0,3,4,0
21.0,3.0,0.0,15.0,3,1,0
24.0,2.0,0.0,19.0,2,1,0
26.0,2.0,0.0,23.0,3,3,1
20.0,3.0,0.0,17.0,2,2,0
18.0,2.0,0.0,14.0,3,3,0
20.0,3.0,0.0,21.0,3,2,0
18.0,3.0,0.0,17.0,2,1,0
17.0,2.0,0.0,15.0,2,1,0
23.0,3.0,0.0,14.0,2,1,0
24.0,3.0,57.14285714285714,13.0,3,2,1
20.0,3.0,0.0,2.0,2,2,0
20.0,3.0,0.0,23.0,2,2,0
21.0,3.0,0.0,15.0,2,1,0
23.0,2.0,0.0,13.0,2,2,1
16.0,3.0,0.0,2.0,2,2,1
38.0,3.0,0.0,11.0,2,1,0
28.0,3.0,0.0,18.0,3,3,1
16.0,2.0,0.0,8.0,1,3,0
46.0,5.0,19.51219512195122,21.0,1,3,1
24.0,2.0,0.0,7.0,3,3,1
19.0,2.0,0.0,17.0,2,1,0
18.0,3.0,0.0,16.0,3,4,0
22.0,3.0,0.0,1.0,3,1,1
21.0,3.0,0.0,15.0,2,1,0
34.0,3.0,0.0,2.0,2,3,1
43.0,2.0,0.0,23.0,2,2,1
24.0,2.0,0.0,7.0,3,2,1
23.0,2.0,0.0,20.0,1,2,1
22.0,2.0,0.0,20.0,2,3,1
18.0,2.0,0.0,19.0,2,3,0
18.0,2.0,0.0,4.0,3,2,1
29.0,3.0,0.0,0.0,2,2,0
24.0,2.0,0.0,19.0,2,3,1
20.0,3.0,0.0,21.0,2,2,0
19.0,4.0,0.0,17.0,2,2,0
21.0,3.0,0.0,0.0,2,0,0
20.0,3.0,0.0,11.0,2,3,0
26.0,2.0,0.0,17.0,3,2,1
23.0,2.0,0.0,8.0,2,3,1
20.0,3.0,0.0,12.0,2,2,0
29.0,3.0,0.0,15.0,2,2,1
24.0,2.0,0.0,13.0,2,0,0
21.0,2.0,0.0,16.0,1,4,1
15.0,2.0,15.384615384615383,16.0,2,4,1
18.0,3.0,0.0,13.0,3,1,0
25.0,2.0,0.0,13.0,2,2,1
27.0,4.0,0.0,23.0,3,2,1
24.0,2.0,0.0,13.0,1,3,1
19.0,3.0,0.0,13.0,2,1,1
20.0,3.0,0.0,16.0,2,2,0
20.0,3.0,5.88235294117647,15.0,3,3,1
16.0,3.0,0.0,10.0,1,2,1
21.0,3.0,0.0,12.0,2,1,0
22.0,2.0,0.0,0.0,2,4,1
28.0,3.0,0.0,8.0,2,3,0
29.0,3.0,0.0,0.0,2,2,0
20.0,3.0,0.0,7.0,2,3,0
20.0,3.0,0.0,20.0,2,2,0
30.0,4.0,0.0,12.0,2,1,1
22.0,3.0,0.0,7.0,2,2,0
22.0,2.0,0.0,23.0,2,2,1
24.0,2.0,0.0,3.0,2,2,1
23.0,2.0,4.761904761904762,8.0,3,4,1
30.0,3.0,0.0,12.0,2,1,0
15.0,2.0,0.0,18.0,2,0,0
20.0,3.0,0.0,3.0,2,2,0
20.0,3.0,0.0,22.0,2,2,0
28.0,2.0,0.0,,3,5,1
18.0,2.0,0.0,8.0,3,3,1
18.0,3.0,0.0,13.0,3,5,1
20.0,3.0,0.0,3.0,0,0,0
19.0,2.0,0.0,0.0,3,3,1
22.0,3.0,0.0,18.0,2,1,0
15.0,2.0,0.0,15.0,2,4,1
15.0,3.0,0.0,4.0,2,3,1
19.0,2.0,0.0,17.0,2,1,0
20.0,3.0,0.0,16.0,2,3,1
24.0,3.0,0.0,15.0,2,1,0
23.0,2.0,0.0,8.0,3,1,1
34.0,4.0,0.0,13.0,3,4,1
19.0,3.0,0.0,19.0,2,1,0
25.0,3.0,0.0,13.0,3,5,1
28.0,3.0,0.0,12.0,3,4,1
14.0,2.0,0.0,4.0,3,1,1
29.0,3.0,0.0,11.0,2,1,0
16.0,2.0,0.0,23.0,3,3,1
23.0,3.0,0.0,19.0,3,4,1
22.0,2.0,0.0,4.0,2,4,1
20.0,3.0,0.0,10.0,2,3,0
28.0,3.0,0.0,2.0,1,3,0
25.0,3.0,0.0,20.0,2,0,0
20.0,3.0,0.0,4.0,2,2,0
22.0,3.0,0.0,9.0,2,1,0
24.0,2.0,0.0,17.0,2,2,1
16.0,2.0,0.0,6.0,1,3,1
22.0,3.0,0.0,16.0,2,2,0
21.0,3.0,0.0,15.0,1,1,0
20.0,3.0,0.0,21.0,2,2,0
33.0,4.0,27.58620689655172,23.0,1,3,1
37.0,8.0,0.0,12.0,2,3,1
20.0,3.0,0.0,5.0,2,3,0
16.0,2.0,0.0,7.0,2,4,0
26.0,3.0,0.0,18.0,1,1,0
27.0,3.0,0.0,4.0,3,3,1
20.0,3.0,0.0,21.0,3,3,1
18.0,3.0,0.0,16.0,2,3,0
20.0,3.0,0.0,1.0,2,2,0
15.0,2.0,0.0,2.0,3,2,1
20.0,2.0,0.0,19.0,2,0,0
20.0,3.0,0.0,21.0,2,3,0
24.0,2.0,0.0,23.0,3,4,1
20.0,3.0,0.0,15.0,2,3,0
20.0,3.0,0.0,19.0,2,3,0
23.0,2.0,0.0,23.0,3,2,1
16.0,2.0,0.0,3.0,3,2,1
24.0,3.0,0.0,8.0,3,3,1
26.0,2.0,0.0,12.0,1,2,1
23.0,2.0,0.0,17.0,1,2,1
21.0,3.0,0.0,14.0,2,0,0
12.0,2.0,0.0,10.0,1,2,1
20.0,3.0,0.0,11.0,2,2,0
28.0,3.0,0.0,6.0,2,1,0
27.0,4.0,8.695652173913043,22.0,2,4,1
16.0,2.0,0.0,13.0,2,1,0
20.0,3.0,0.0,20.0,2,1,0
18.0,3.0,0.0,,3,4,1
16.0,3.0,15.384615384615383,1.0,2,4,1
20.0,3.0,0.0,4.0,2,2,0
